"","id","name","locality","timezone","distance"
"1",60,"Haringey Roadside - UKA00260","Haringey","Europe/London",10976.86641226
"2",146,"Southwark A2 Old Kent Road - UKA00558","Southwark","Europe/London",5665.03600858
"3",148,"London Bloomsbury - UKA00211","London","Europe/London",1597.95162687
"4",149,"Ealing - Horn Lane","Ealing","Europe/London",9616.94136246
"5",150,"London Haringey Priory Park South - UKA00568","London","Europe/London",8472.36836139
"6",151,"Tower Hamlets Roadside - UKA00257","Tower Hamlets","Europe/London",6187.90849342
"7",152,"Camden Kerbside - UKA00259","London","Europe/London",5186.61654336
"8",153,"London Hillingdon - UKA00266","London","Europe/London",23135.49875362
"9",154,"Westminster - Marylebone Road","Westminster","Europe/London",2443.94598885
"10",155,"London N. Kensington - UKA00253","Kensington and Chelsea","Europe/London",6096.25954024
"11",157,"Bexley - Slade Green","Bexley","Europe/London",22243.17485376
"12",158,"London Teddington Bushy Park - UKA00572","London","Europe/London",17689.87955524
"13",159,"London Westminster - UKA00435","London","Europe/London",1505.52597322
"14",225705,"Bexley - Belvedere West","Bexley","Europe/London",18494.21311144
"15",225707,"Enfield - Derby Road","Enfield","Europe/London",13045.96782114
"16",225708,"Barking and Dagenham - Rush Green","Barking and Dagenham","Europe/London",22125.67759842
"17",225709,"Croydon - Norbury","Croydon","Europe/London",10758.92412965
"18",225710,"Greenwich - Blackheath","Greenwich","Europe/London",8961.36560134
"19",225711,"Enfield - Bowes Primary School","Enfield","Europe/London",11780.10566092
"20",225713,"Brent - ARK Franklin Primary Academy","Brent","Europe/London",6780.88155109
"21",225714,"Bexley - Belvedere","Bexley","Europe/London",20031.32284631
"22",225715,"Brent - Neasden Lane","Brent","Europe/London",9731.08065733
"23",225719,"Brent - John Keble Primary School","Brent","Europe/London",8938.06537365
"24",225723,"Brent - Ikea","Brent","Europe/London",10282.54385806
"25",225725,"Bromley - Harwood Avenue","Bromley","Europe/London",15311.52214017
"26",225727,"Barking and Dagenham - Scrattons Farm","Barking and Dagenham","Europe/London",18276.0960952
"27",225730,"Enfield - Prince of Wales School","Enfield","Europe/London",19329.11001186
"28",225733,"Ealing - Hanger Lane Gyratory","Ealing","Europe/London",11683.33627666
"29",225736,"Enfield - Bush Hill Park","Enfield","Europe/London",15841.23024245
"30",225741,"Ealing - Acton Vale ","Ealing","Europe/London",8792.98469704
"31",225744,"Ealing - Western Avenue","Ealing","Europe/London",9687.96385677
"32",225747,"Greenwich - A206 Burrage Grove","Greenwich","Europe/London",14175.15973381
"33",225751,"Greenwich - Plumstead High Street","Greenwich","Europe/London",15683.41024744
"34",225755,"Greenwich - John Harrison Way","Greenwich","Europe/London",9779.54463557
"35",225761,"Greenwich - Woolwich Flyover","Greenwich","Europe/London",10414.3402924
"36",225763,"Havering - Rainham","Havering","Europe/London",23205.90505832
"37",225765,"Lewisham - New Cross","Lewisham","Europe/London",7165.82213935
"38",225766,"Lewisham - Deptford","Lewisham","Europe/London",7819.35974115
"39",225767,"Lambeth - Brixton Road","Lambeth","Europe/London",4973.49735686
"40",225769,"Greenwich - Fiveways Sidcup Rd A20","Greenwich","Europe/London",15663.29835626
"41",225776,"Lewisham - Loampit Vale","Lewisham","Europe/London",9158.76769849
"42",225782,"Islington - Arsenal","Islington","Europe/London",5743.04710007
"43",225786,"Lambeth - Streatham Green","Lambeth","Europe/London",8880.52415482
"44",225787,"Southwark - Tower Bridge Road","Southwark","Europe/London",3548.45791232
"45",225789,"Havering - Romford","Havering","Europe/London",22511.03064082
"46",225791,"Islington - Holloway Road","Islington","Europe/London",5337.1556879
"47",225793,"Southwark - Elephant and Castle","Southwark","Europe/London",2481.55154468
"48",225794,"Southwark - Lower Road","Southwark","Europe/London",5371.13605822
"49",225796,"Greenwich - Falconwood FDMS","Bexley","Europe/London",15927.49432047
"50",225797,"Greenwich - Westhorne Avenue","Greenwich","Europe/London",13065.92783157
"51",225800,"Greenwich - Trafalgar Road (Hoskins St)","Greenwich","Europe/London",9324.92250614
"52",225801,"Westminster - Elizabeth Bridge","Westminster","Europe/London",2190.0740794
"53",225802,"Southwark - Vicarage Grove","Southwark","Europe/London",4748.17687028
"54",225803,"London Honor Oak Park - UKA00656","Lewisham","Europe/London",9049.10437157
"55",225805,"Wandsworth - Lavender Hill (Clapham Jct)","Wandsworth","Europe/London",5608.88447621
"56",225806,"Richmond Upon Thames - Castelnau","Richmond","Europe/London",8186.62552108
"57",225807,"Westminster - Covent Garden","Westminster","Europe/London",635.61581605
"58",225824,"Croydon - Norbury Manor","Croydon","Europe/London",10898.95360859
"59",225839,"Wandsworth - Battersea","Wandsworth","Europe/London",3314.72134919
"60",225848,"Westminster - Oxford Street","Westminster","Europe/London",1830.31160457
"61",225850,"Wandsworth - Tooting High Street","Wandsworth","Europe/London",9148.66517594
"62",225852,"Wandsworth - Putney High Street","Wandsworth","Europe/London",7853.42119413
"63",227058,"Newham - Britannia Gate","Newham","Europe/London",10339.90419309
"64",230827,"Southwark - South Circular Road","Southwark","Europe/London",8076.08360215
"65",270712,"Lewisham - Laurence House Catford","Lewisham","Europe/London",10184.52455594
"66",1235983,"Islington",NA,"Europe/London",5014.25943261
"67",1462792,"UAL Creative Computing Institute, Greencoat Building",NA,"Europe/London",4935.20935533
"68",2453304,"Marylebone Road",NA,"Europe/London",2527.54739964
"69",2453309,"Honor Oak Park",NA,"Europe/London",8831.09371416
"70",2453312,"Honor Oak Park",NA,"Europe/London",8831.09371416
"71",2453319,"Marylebone Road",NA,"Europe/London",2527.54739964
"72",2659910,"Borehamwood Meadow Park - UKA00644",NA,"Europe/London",19701.62645575
"73",2984093,"Maiden Lane, London",NA,"Europe/London",3816.21694676
"74",3039088,"Farthing downs",NA,"Europe/London",22236.46538593
"75",3053804,"Twickenham",NA,"Europe/London",15961.2160338
"76",3057945,"Harlesden LP2",NA,"Europe/London",8149.99767846
"77",3057946,"Harlesden HP2",NA,"Europe/London",8327.17600093
"78",3057947,"Harlesden HP1",NA,"Europe/London",8525.21874989
"79",3057948,"Harlesden LP1",NA,"Europe/London",8409.17806124
"80",3079185,"Stondon Walk",NA,"Europe/London",12349.27392239
"81",3261167,"Primrose Hill",NA,"Europe/London",3871.44921239
"82",3278199,"Perivale, Buckingham Ave",NA,"Europe/London",13877.73111464
"83",3308933,"Mitcham Road",NA,"Europe/London",9522.57995697
"84",3308934,"Bellevue Road / Trinity Road",NA,"Europe/London",7645.80538193
"85",3308935,"Twickenham Primary Academy",NA,"Europe/London",16317.08828847
"86",3308936,"Wandsworth Bridge",NA,"Europe/London",6381.04568733
"87",3308937,"Battersea Park Road",NA,"Europe/London",3799.46320402
"88",3308938,"Thomson House School",NA,"Europe/London",10570.25998868
"89",3308939,"Putney High Street",NA,"Europe/London",8070.37358197
"90",3308940,"Nine Elms Lane",NA,"Europe/London",3059.76933041
"91",3308941,"Richmond Bus Garage",NA,"Europe/London",13367.93111006
"92",3308942,"High St, Barnes",NA,"Europe/London",9231.09970447
"93",3308943,"Church Rd",NA,"Europe/London",19285.90297958
"94",3308944,"St Mary's RC Primary",NA,"Europe/London",3669.20375164
"95",3308945,"High St, Witton",NA,"Europe/London",17169.40054843
"96",3308946,"Park Rd, Hampton Hill",NA,"Europe/London",18016.89899329
"97",3308947,"Lwr Rich Rd, Chertsy Corner, nr j/w houses",NA,"Europe/London",11138.61111733
"98",3308948,"Holy Trinity CE Primary School",NA,"Europe/London",12024.8196103
"99",3308949,"King St, Twickenham",NA,"Europe/London",15511.70881264
"100",3308950,"Kew Rd, before j/w South Circle / Kew Green",NA,"Europe/London",11386.33835209
"101",3308951,"Nelson Primary School",NA,"Europe/London",17346.99619572
"102",3308952,"St Margaret's Road, Twickenham",NA,"Europe/London",14504.06800243
"103",3308953,"Chase Bridge Primary School",NA,"Europe/London",16241.28831673
"104",3308954,"Roehampton Lane",NA,"Europe/London",10094.93802648
"105",3308955,"Deer Park School",NA,"Europe/London",13938.16170081
"106",3308956,"Kew Rd, Richmond, opposite station",NA,"Europe/London",13001.89535637
"107",3308957,"The Vineyard Schl, Friars Stile Rd",NA,"Europe/London",13199.88483092
"108",3308958,"Wandsworth Town",NA,"Europe/London",7296.71403532
"109",3308959,"Archdeacon Cambridge's CofE Primary School",NA,"Europe/London",16561.41374464
"110",3309035,"St Richards CE Primary School",NA,"Europe/London",15484.28615981
"111",3309036,"Broad Street, Teddington",NA,"Europe/London",17259.61446486
"112",3309037,"West Hill",NA,"Europe/London",7669.77898059
