"","X","id","name","latestDateUTC","value","latitude","longitude"
"1",4,6530154,"pm25 µg/m³","2024-12-17T08:00:00Z",12.6309523582458,51.5465402591367,-0.0907452421552941
"2",3,1304692,"pm25 µg/m³","2024-12-17T06:00:00Z",6.3,51.4804994936467,-0.0595528932573422
"3",3,6794730,"pm25 µg/m³","2024-12-17T08:00:00Z",12.3519999186198,51.4723090811869,-0.0860062392925502
"4",4,254,"pm25 µg/m³","2024-12-17T06:00:00Z",6.7,51.4659832746662,0.184877126994369
"5",1,28890,"pm25 µg/m³","2024-12-17T04:00:00Z",4,51.4946699996591,-0.131930999642045
"6",1,1792043,"pm25 µg/m³","2024-12-17T06:00:00Z",4.5,51.4946486813055,0.137279111232178
"7",3,6933605,"pm25 µg/m³","2024-12-17T06:00:00Z",5,51.5324054617809,-0.217718908639377
"8",3,1792083,"pm25 µg/m³","2024-12-17T06:00:00Z",4.4,51.4906102082147,0.158914493927518
"9",3,6612671,"pm25 µg/m³","2024-12-17T06:00:00Z",6,51.552656,-0.248774
"10",3,6955371,"pm25 µg/m³","2024-12-17T06:00:00Z",6,51.537799,-0.247793
"11",1,1304516,"pm25 µg/m³","2024-12-17T06:00:00Z",9,51.552476,-0.258089
"12",2,1304507,"pm25 µg/m³","2024-12-17T06:00:00Z",9,51.405546,0.018882
"13",2,1304721,"pm25 µg/m³","2024-12-17T06:00:00Z",9.1,51.490532,0.074003
"14",2,1304607,"pm25 µg/m³","2024-12-17T06:00:00Z",7.7,51.486957,0.095111
"15",1,1304680,"pm25 µg/m³","2024-12-17T06:00:00Z",6.8,51.4937746695818,0.0107796237032558
"16",1,1304619,"pm25 µg/m³","2024-12-17T00:00:00Z",9,51.474954,-0.039641
"17",2,1304686,"pm25 µg/m³","2024-12-17T06:00:00Z",2,51.4795312838203,-0.0252606031340197
"18",1,1666368,"pm25 µg/m³","2024-12-17T06:00:00Z",7,51.464113541162,-0.11458102695123
"19",1,1304614,"pm25 µg/m³","2024-12-17T06:00:00Z",7.2,51.5013906712066,-0.0782034373606952
"20",3,1304683,"pm25 µg/m³","2024-12-17T06:00:00Z",6,51.4931557048667,-0.101527038274853
"21",1,1304669,"pm25 µg/m³","2024-12-17T06:00:00Z",6,51.4965604167321,-0.0530504472531612
"22",1,1304722,"pm25 µg/m³","2024-12-17T06:00:00Z",7.1,51.4563,0.085606
"23",2,1304713,"pm25 µg/m³","2024-12-17T02:00:00Z",5.1,51.456357,0.040725
"24",1,1304737,"pm25 µg/m³","2024-12-17T06:00:00Z",4,51.4922482333024,-0.147114752900186
"25",2,1304757,"pm25 µg/m³","2024-12-17T06:00:00Z",6.5,51.4735803479615,-0.0877818536754426
"26",4,1304734,"pm25 µg/m³","2024-12-17T06:00:00Z",4.4,51.4496728960354,-0.0374153592115306
"27",2,11268004,"pm25 µg/m³","2024-12-17T06:00:00Z",4,51.4636903568111,-0.166713485994806
"28",2,7771087,"pm25 µg/m³","2024-12-17T06:00:00Z",7,51.5119769825798,-0.12162720332856
"29",1,1304814,"pm25 µg/m³","2024-12-17T06:00:00Z",10,51.410039,-0.127523
"30",1,10416144,"pm25 µg/m³","2024-12-17T06:00:00Z",11,51.4794395281222,-0.141786953606306
"31",3,7799668,"pm25 µg/m³","2024-12-17T07:00:00Z",8,51.5139287404213,-0.152792701881935
"32",1,1356319,"pm25 µg/m³","2024-12-17T04:00:00Z",5,51.503858,0.020574415
"33",1,1334916,"pm25 µg/m³","2024-12-17T06:00:00Z",5.1,51.442633,-0.077653974
"34",3,7897356,"pm25 µg/m³","2024-12-17T08:00:00Z",14.8472222487132,51.52224,-0.15657
"35",2,7897335,"pm25 µg/m³","2024-12-17T08:00:00Z",10.7229167620341,51.451186,-0.039428
"36",2,7897344,"pm25 µg/m³","2024-12-17T08:00:00Z",11.0347222487132,51.451186,-0.039428
"37",2,7897374,"pm25 µg/m³","2024-12-17T08:00:00Z",13.8020834128062,51.52224,-0.15657
"38",5,10081803,"pm25 µg/m³","2024-12-17T08:00:00Z",11.1123510996501,51.5423,-0.1285
"39",6,10432372,"pm25 µg/m³","2024-12-17T08:00:00Z",12.8471666971842,51.3082,-0.1365
"40",1,10574317,"pm25 µg/m³","2024-12-17T08:05:41Z",19.35,51.53469,-0.23755
"41",1,10574314,"pm25 µg/m³","2024-12-17T08:07:08Z",16.21,51.53356,-0.24096
"42",1,10574315,"pm25 µg/m³","2024-12-17T06:05:25Z",8.75,51.53505,-0.24312
"43",1,10574316,"pm25 µg/m³","2024-12-17T08:01:59Z",12.01,51.53536,-0.24114
"44",4,10734347,"pm25 µg/m³","2024-12-17T08:00:00Z",0.0166666669150194,51.531674,0.045623
"45",6,11280080,"pm25 µg/m³","2024-12-17T08:00:00Z",7.00608336925507,51.5395,-0.1519
"46",3,11370869,"pm25 µg/m³","2024-12-17T08:00:00Z",18.1187918980916,51.54084,-0.321103
