"","X","id","name","latestDateUTC","values","latitude","longitude"
"1",3,1304692,"pm25 µg/m³","2024-12-14T20:00:00Z",10.7,51.4804994936467,-0.0595528932573422
"2",4,254,"pm25 µg/m³","2024-12-14T20:00:00Z",9.1,51.4659832746662,0.184877126994369
"3",1,28890,"pm25 µg/m³","2024-12-14T19:00:00Z",7,51.4946699996591,-0.131930999642045
"4",1,1792043,"pm25 µg/m³","2024-12-14T20:00:00Z",8.2,51.4946486813055,0.137279111232178
"5",3,6933605,"pm25 µg/m³","2024-12-14T20:00:00Z",11,51.5324054617809,-0.217718908639377
"6",3,1792083,"pm25 µg/m³","2024-12-14T20:00:00Z",7.6,51.4906102082147,0.158914493927518
"7",3,6612671,"pm25 µg/m³","2024-12-14T20:00:00Z",12,51.552656,-0.248774
"8",3,6955371,"pm25 µg/m³","2024-12-14T19:00:00Z",13,51.537799,-0.247793
"9",1,1304516,"pm25 µg/m³","2024-12-14T20:00:00Z",16,51.552476,-0.258089
"10",2,1304507,"pm25 µg/m³","2024-12-14T20:00:00Z",10,51.405546,0.018882
"11",2,1304721,"pm25 µg/m³","2024-12-14T20:00:00Z",13.4,51.490532,0.074003
"12",2,1304607,"pm25 µg/m³","2024-12-14T20:00:00Z",12.9,51.486957,0.095111
"13",1,1304680,"pm25 µg/m³","2024-12-14T20:00:00Z",11.3,51.4937746695818,0.0107796237032558
"14",1,1304619,"pm25 µg/m³","2024-12-14T11:00:00Z",9,51.474954,-0.039641
"15",2,1304686,"pm25 µg/m³","2024-12-14T20:00:00Z",19,51.4795312838203,-0.0252606031340197
"16",1,1666368,"pm25 µg/m³","2024-12-14T20:00:00Z",19.2,51.464113541162,-0.11458102695123
"17",1,1304614,"pm25 µg/m³","2024-12-14T20:00:00Z",9.7,51.5013906712066,-0.0782034373606952
"18",1,1304669,"pm25 µg/m³","2024-12-14T20:00:00Z",9.3,51.4965604167321,-0.0530504472531612
"19",1,1304722,"pm25 µg/m³","2024-12-14T20:00:00Z",9.5,51.4563,0.085606
"20",2,1304713,"pm25 µg/m³","2024-12-14T20:00:00Z",9.8,51.456357,0.040725
"21",1,1304737,"pm25 µg/m³","2024-12-14T20:00:00Z",12,51.4922482333024,-0.147114752900186
"22",2,1304757,"pm25 µg/m³","2024-12-14T20:00:00Z",29.4,51.4735803479615,-0.0877818536754426
"23",4,1304734,"pm25 µg/m³","2024-12-14T20:00:00Z",8.3,51.4496728960354,-0.0374153592115306
"24",2,11268004,"pm25 µg/m³","2024-12-14T20:00:00Z",17,51.4636903568111,-0.166713485994806
"25",2,7771087,"pm25 µg/m³","2024-12-14T20:00:00Z",29,51.5119769825798,-0.12162720332856
"26",1,10416144,"pm25 µg/m³","2024-12-14T20:00:00Z",14,51.4794395281222,-0.141786953606306
"27",3,7799668,"pm25 µg/m³","2024-12-14T20:00:00Z",16,51.5139287404213,-0.152792701881935
